,Date,ASPI,Banks_finance_insurance,trend,seasonal,residual
1228,2013-02-19,5737.48,12801.39,9.425600378582068,-0.0006209598654017831,0.032329619045166846
1229,2013-02-20,5730.54,12797.69,9.425901722671712,0.0008662676865074589,0.030251974513044712
1230,2013-02-21,5726.11,12715.26,9.426241918207172,-0.003137809565920048,0.027454017295327728
1231,2013-02-22,5735.61,12772.01,9.426601092257089,-0.011181336750083374,0.039591581290092104
1232,2013-02-26,5669.48,12668.42,9.426951895520075,-0.019390196757388692,0.03930586275104815
1233,2013-02-27,5674.47,12767.03,9.427327522964664,-0.017456896683705096,0.04475071934473085
1234,2013-02-28,5635.9,12702.86,9.427784861362575,-0.01566144934019327,0.03745903192169038
1235,2013-03-01,5652.69,12711.66,9.428249701737784,-0.017841400449455303,0.03986666018916167
1236,2013-03-04,5631.89,12757.6,9.428736697397731,-0.017028513769877376,0.04217426780590941
1237,2013-03-05,5626.77,12666.09,9.429202440033446,-0.01516623212086763,0.03264741477569053
1238,2013-03-06,5663.36,12717.85,9.429804886227071,-0.008139808628560698,0.029096719852007593
1239,2013-03-07,5680.02,12728.5,9.430435615168506,-0.005400738676718998,0.026563976223776178
1240,2013-03-08,5691.39,12788.49,9.431025883970971,0.0018712794833201972,0.02340366316370648
1241,2013-03-11,5677.31,12781.98,9.431603732802792,0.0029293454898169135,0.02125856721603483
1242,2013-03-12,5704.32,12841.77,9.432195587639704,0.0004523624964654291,0.027810468074570306
1243,2013-03-13,5685.82,12884.98,9.43277702281436,0.0027108573536384064,0.0283296907247913
1244,2013-03-14,5688.98,12946.48,9.433332658232436,0.004286796139996628,0.030959761135133303
1245,2013-03-15,5704.53,13029.46,9.433834278448327,0.0044110685881342026,0.03672287939939991
1246,2013-03-18,5708.01,13104.27,9.43430059814432,0.006796088112051212,0.03959672401981542
1247,2013-03-19,5722.86,13150.35,9.43479003727091,0.008610316369329784,0.040803299581053734
1248,2013-03-20,5734.82,13175.86,9.435247933850366,0.006085326719425698,0.0448083858517571
1249,2013-03-21,5763.83,13286.16,9.435733516842063,0.008551027458944137,0.05019362660343425
1250,2013-03-22,5768.88,13341.38,9.436239933931216,0.008956391204974355,0.05342943725888219
1251,2013-03-25,5745.55,13271.7,9.43677794566522,0.012374955179503933,0.04423632679178169
1252,2013-03-27,5744.99,13246.62,9.43732861987807,0.013605618911043681,0.04056346574353646
1253,2013-03-28,5735.68,13227.38,9.437888702226076,0.012249359082517163,0.0399061414194702
1254,2013-04-01,5705.2,13054.19,9.438447675617756,0.014501160136152012,0.023915598261025718
1255,2013-04-02,5704.62,13014.99,9.438981907154758,0.017000848274665546,0.01787429365472846
1256,2013-04-03,5728.47,13120.32,9.439556641075932,0.020214002028261933,0.02214680934035165
1257,2013-04-04,5753.56,13292.62,9.44018624548768,0.0222391564015598,0.0325388710956738
1258,2013-04-05,5765.94,13373.03,9.440854167058447,0.025031924687224746,0.03510917945071419
1259,2013-04-08,5777.38,13313.89,9.44151611131297,0.021568238286089357,0.03347878054758844
1260,2013-04-09,5767.6,13283.87,9.44220453693762,0.011692686398073636,0.04040857290408517
1261,2013-04-10,5794.3,13328.5,9.442917960812114,0.012769172528749383,0.04197274536809352
1262,2013-04-11,5813.37,13406.26,9.443644864526341,0.019758937101944273,0.040073239402609026
1263,2013-04-12,5839.88,13454.64,9.44445150897063,0.016614943876125852,0.04601285410346321
1264,2013-04-16,5852.68,13493.06,9.445271670930161,0.01655474482206991,0.048104342418836835
1265,2013-04-17,5868.53,13587.78,9.44612346748022,0.021902114448464193,0.048900556464168396
1266,2013-04-18,5891.83,13604.88,9.446950946220515,0.017517201806616287,0.05371568286465703
1267,2013-04-19,5882.25,13571.81,9.447820291171933,0.02700123572872244,0.04092859949492193
1268,2013-04-22,5872.43,13526.06,9.448684345534883,0.028282552901829593,0.03540657558956226
1269,2013-04-23,5883.52,13507.74,9.449540313512342,0.024470444147785316,0.037007375806964116
1270,2013-04-24,5933.73,13572.08,9.45041668094002,0.02250065124808842,0.04285268818729271
1271,2013-04-26,5962.17,13640.21,9.45130635386851,0.02381948579815287,0.045651487506703316
1272,2013-04-29,5967.62,13628.88,9.452176376387364,0.019765491905208,0.04800448134161221
1273,2013-04-30,5953.19,13585.67,9.453021160704505,0.027095281453448836,0.036654397588298054
1274,2013-05-02,5972.37,13560.01,9.453874052750011,0.03208224135134856,0.02892400485588105
1275,2013-05-03,6013.18,13654.14,9.454673213345748,0.030027796301630192,0.037097041683876314
1276,2013-05-06,6121.17,13847.0,9.455503020812216,0.0370347777528518,0.04328608308964632
1277,2013-05-07,6201.68,14017.8,9.456313600069048,0.0332638439921288,0.0585057855267893
1278,2013-05-08,6210.1,14068.94,9.457075855140495,0.03014088279578406,0.06450807173641085
1279,2013-05-09,6238.71,14231.77,9.457852072989098,0.025499332429561792,0.07988066303194977
1280,2013-05-10,6250.0,14218.62,9.458600299535474,0.028994611354258785,0.07471274134468858
1281,2013-05-13,6239.03,14095.69,9.45933827661775,0.019627885144231874,0.07465819411766682
1282,2013-05-14,6206.59,13967.38,9.460088612972378,0.02137327638872671,0.06301800056246426
1283,2013-05-15,6221.12,13915.81,9.460819577408158,0.022391956548644912,0.05756934887315933
1284,2013-05-16,6287.0,14085.71,9.461537673547834,0.020349793691148806,0.07102862003674998
1285,2013-05-17,6380.7,14282.99,9.46227122068996,0.02417805127857702,0.08037532576082101
1286,2013-05-20,6466.67,14300.5,9.462963349245054,0.01837147959312481,0.0867149518335225
1287,2013-05-21,6441.64,14217.4,9.463605548511858,0.007377073978186557,0.091239223080804
1288,2013-05-22,6461.62,14253.56,9.464248280511661,-0.0014453154875936946,0.10195901403317359
1289,2013-05-23,6488.85,14219.78,9.46487712064997,-0.005588194481043145,0.10310030590125668
1290,2013-05-27,6446.54,14099.51,9.46548363680267,-0.008305094649988545,0.0967167818366719
1291,2013-05-28,6434.7,13987.32,9.466060844919909,-0.02025144025575123,0.10009707924051384
1292,2013-05-29,6455.81,14044.51,9.466595647678139,-0.021613959392511192,0.10500516278367177
1293,2013-05-30,6455.12,14067.45,9.467140587553047,-0.014594593103748062,0.09907290256001205
1294,2013-05-31,6463.06,14034.82,9.467679394211178,-0.01866887482338485,0.10028614424579062
1295,2013-06-03,6451.68,13920.94,9.46816753672772,-0.015819906341596565,0.08880182995795725
1296,2013-06-04,6449.66,13959.19,9.46863253638122,-0.007859305463306883,0.08312012079241965
1297,2013-06-05,6422.84,13919.21,9.46910200010704,-0.006381757088766042,0.07830493638606834
1298,2013-06-06,6372.38,13864.87,9.469536118248765,-0.009149657528748287,0.07672712115896695
1299,2013-06-07,6307.43,13787.16,9.469920563321567,-0.010903166681594287,0.07247560659958961
1300,2013-06-10,6341.28,13846.08,9.470251067211814,-0.01626849090108109,0.08177486275252235
1301,2013-06-11,6303.79,13789.22,9.470523553885137,-0.02267819187501595,0.0837970444508823
1302,2013-06-12,6284.76,13763.92,9.470738059174977,-0.018853289729287927,0.07792118519091343
1303,2013-06-13,6207.87,13608.34,9.470902094134857,-0.025339362358802246,0.0728753872902787
1304,2013-06-14,6219.39,13603.63,9.471056109579772,-0.017918567241817198,0.06495440553628676
1305,2013-06-17,6219.11,13560.71,9.471234644101507,-0.017845887224153686,0.061543163128308195
1306,2013-06-18,6193.0,13482.1,9.47136432715822,-0.022795320479734895,0.0605491520045274
1307,2013-06-19,6209.23,13515.9,9.471419238862593,-0.023838423783597674,0.06404123408916505
1308,2013-06-20,6211.44,13470.59,9.471408441439232,-0.030188651427402815,0.0670442794726889
1309,2013-06-21,6155.27,13259.86,9.471371449977262,-0.03342807216468635,0.05455332780215982
1310,2013-06-24,6149.38,13290.27,9.471304626713575,-0.03799718387052884,0.06148002468496514
1311,2013-06-25,6086.22,13196.27,9.471277517174048,-0.045774301580731765,0.06218627729151833
1312,2013-06-26,6072.68,13192.12,9.471254260253206,-0.043258965350333224,0.0593796657172647
1313,2013-06-27,6111.36,13332.97,9.471197360298723,-0.039084812945472856,0.06588264670342639
1314,2013-06-28,6121.01,13337.89,9.471110761145944,-0.03506814672057643,0.06232152161936575
1315,2013-07-01,6132.75,13260.19,9.471036245855643,-0.03799680381125128,0.05948215040125084
1316,2013-07-02,6140.79,13286.63,9.47094273287169,-0.03361769111750561,0.05718850368187815
1317,2013-07-03,6117.97,13267.65,9.470887892957318,-0.028518219233838665,0.05071434673715956
1318,2013-07-04,6073.17,13192.4,9.470848928454824,-0.036277702708261535,0.05282495944010008
1319,2013-07-05,6048.18,13166.34,9.470825125143334,-0.0359259542449984,0.05051968088841014
1320,2013-07-08,5995.64,13094.14,9.470824917912015,-0.03906088523180233,0.04815604818362888
1321,2013-07-09,5980.16,13010.84,9.470845197279878,-0.04290105356221996,0.04559399142329379
1322,2013-07-10,6016.05,13095.18,9.470881412452561,-0.047025112591881135,0.05614320269112738
